"fmcg_category","platform_name","product_name","date_miladi","cheapest_price"
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-08-13",25100
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-08-16",26480
"baby-mother-care","Digikala","صابون نوزاد و کودک پینو بیبی مدل کرمی مناسب برای پوست حساس وزن 100 گرم","2025-08-17",28650
"baby-mother-care","Digikala","آب آشامیدنی کودکان ماجان کاله - 330 میلی لیتر","2025-08-18",29500
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-08-19",26480
"baby-mother-care","Digikala","خمیر دندان کودک اکتیدنت مدل Strawberry وزن 70 گرم","2025-08-20",48000
"baby-mother-care","Digikala","صابون نوزاد و کودک پینو بیبی مدل کرمی مناسب برای پوست حساس وزن 100 گرم","2025-08-21",52100
"baby-mother-care","Digikala","آب آشامیدنی کودکان ماجان کاله - 330 میلی لیتر","2025-08-25",20000
"baby-mother-care","Digikala","پودر بچه فیروز کد 01 وزن 120 گرم","2025-08-26",47900
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-08-27",26480
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-08-28",26480
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-08-30",26480
"baby-mother-care","Digikala","آب آشامیدنی کودکان ماجان کاله - 330 میلی لیتر","2025-08-31",20000
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-09-02",26480
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-09-03",26480
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-09-04",26480
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-09-05",26480
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-09-08",26480
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل خرس حجم 110 میلی لیتر","2025-09-09",26480
