"fmcg_category","platform_name","date_miladi","date","avg_price"
"baby-mother-care","Digikala","2025-08-13","1404/05/22","367500.000000000000"
"baby-mother-care","Digikala","2025-08-16","1404/05/25","367500.000000000000"
"baby-mother-care","Digikala","2025-08-17","1404/05/26","367500.000000000000"
"baby-mother-care","Digikala","2025-08-18","1404/05/27","367500.000000000000"
"baby-mother-care","Digikala","2025-08-19","1404/05/28","367500.000000000000"
"baby-mother-care","Digikala","2025-08-20","1404/05/29","58000.000000000000"
"baby-mother-care","Digikala","2025-08-21","1404/05/30","367500.000000000000"
"baby-mother-care","Digikala","2025-08-25","1404/06/03","367500.000000000000"
"baby-mother-care","Digikala","2025-08-26","1404/06/04","317000.000000000000"
"baby-mother-care","Digikala","2025-08-27","1404/06/05","367500.000000000000"
"baby-mother-care","Digikala","2025-08-28","1404/06/06","367500.000000000000"
"baby-mother-care","Digikala","2025-08-30","1404/06/08","367500.000000000000"
"baby-mother-care","Digikala","2025-08-31","1404/06/09","367500.000000000000"
"baby-mother-care","Digikala","2025-09-02","1404/06/11","356500.000000000000"
"baby-mother-care","Digikala","2025-09-03","1404/06/12","356500.000000000000"
"baby-mother-care","Digikala","2025-09-04","1404/06/13","356500.000000000000"
"baby-mother-care","Digikala","2025-09-05","1404/06/14","356500.000000000000"
"baby-mother-care","Digikala","2025-09-08","1404/06/17","356500.000000000000"
"baby-mother-care","Digikala","2025-09-09","1404/06/18","313000.000000000000"
"baby-mother-care","Digikala","2025-09-11","1404/06/20","313000.000000000000"
"baby-mother-care","Digikala","2025-09-13","1404/06/22","313000.000000000000"
"baby-mother-care","Digikala","2025-09-14","1404/06/23","313000.000000000000"
"baby-mother-care","Digikala","2025-09-15","1404/06/24","313000.000000000000"
"baby-mother-care","Digikala","2025-09-16","1404/06/25","367500.000000000000"
"baby-mother-care","Digikala","2025-09-17","1404/06/26","367500.000000000000"
"baby-mother-care","Digikala","2025-09-18","1404/06/27","367500.000000000000"
"baby-mother-care","Digikala","2025-09-20","1404/06/29","367500.000000000000"
"baby-mother-care","Digikala","2025-09-21","1404/06/30","367500.000000000000"
"baby-mother-care","Digikala","2025-09-22","1404/06/31","367500.000000000000"
"beverages","Digikala","2025-08-13","1404/05/22","332450.000000000000"
"beverages","Digikala","2025-08-16","1404/05/25","332450.000000000000"
"beverages","Digikala","2025-08-17","1404/05/26","332450.000000000000"
"beverages","Digikala","2025-08-18","1404/05/27","332450.000000000000"
"beverages","Digikala","2025-08-19","1404/05/28","332450.000000000000"
"beverages","Digikala","2025-08-20","1404/05/29","371450.000000000000"
"beverages","Digikala","2025-08-21","1404/05/30","501250.000000000000"
"beverages","Digikala","2025-08-25","1404/06/03","209000.000000000000"
"beverages","Digikala","2025-08-26","1404/06/04","151950.000000000000"
"beverages","Digikala","2025-08-27","1404/06/05","279950.000000000000"
"beverages","Digikala","2025-08-28","1404/06/06","279950.000000000000"
"beverages","Digikala","2025-08-30","1404/06/08","267450.000000000000"
"beverages","Digikala","2025-08-31","1404/06/09","267450.000000000000"
"beverages","Digikala","2025-09-02","1404/06/11","251700.000000000000"
