"fmcg_category","platform_name","product_name","date_miladi","date","cheapest_price"
"baby-mother-care","Digikala","پوشک مولفیکس سایز 5 بسته 50 عددی","2025-08-13","1404/05/22",537950
"baby-mother-care","Digikala","پوشک مولفيکس مدل کامفورت سايز 3 بسته 70 عددي","2025-08-16","1404/05/25",513100
"baby-mother-care","Digikala","پوشک مولفيکس مدل کامفورت سايز 3 بسته 70 عددي","2025-08-17","1404/05/26",513100
"baby-mother-care","Digikala","پوشک مولفيکس مدل کامفورت سايز 3 بسته 70 عددي","2025-08-18","1404/05/27",513100
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-08-19","1404/05/28",513100
"baby-mother-care","Digikala","پوشک بچه هانیز سایز 4 بسته 34 عددی","2025-08-20","1404/05/29",367500
"baby-mother-care","Digikala","پوشک بچه هانیز سایز 4 بسته 34 عددی","2025-08-21","1404/05/30",367500
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-08-25","1404/06/03",513100
"baby-mother-care","Digikala","پوشک کودک مولفیکس مدل چسبی سایز 6 بسته 24 عددی","2025-08-26","1404/06/04",356500
"baby-mother-care","Digikala","مایع لباسشویی کودک پرسیل مدل Intense Clean حجم 2.7 کیلوگرم","2025-08-27","1404/06/05",469880
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-08-28","1404/06/06",513100
"baby-mother-care","Digikala","پوشک مولفيکس مدل کامفورت سايز 3 بسته 70 عددي","2025-08-30","1404/06/08",513100
"baby-mother-care","Digikala","پوشک مولفيکس مدل کامفورت سايز 3 بسته 70 عددي","2025-08-31","1404/06/09",513100
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-09-02","1404/06/11",513100
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-09-03","1404/06/12",513100
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-09-04","1404/06/13",513100
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-09-05","1404/06/14",513100
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-09-08","1404/06/17",513100
"baby-mother-care","Digikala","پوشک بچه مولفیکس سایز 2 بسته 80 عددی","2025-09-09","1404/06/18",513100
