"fmcg_category","platform_name","product_name","frequency"
"baby-mother-care","Digikala","خمیر دندان کودک مریدنت مدل ژله ای حجم 70 میلی لیتر","53"
"baby-mother-care","Digikala","شامپو بچه گلرنگ مدل Pink مقدار 210 گرم","27"
"baby-mother-care","Digikala","پودر بچه فیروز کد 01 وزن 120 گرم","27"
"baby-mother-care","Okala","برف شادی 300 میلی لیتری GH","29"
"baby-mother-care","Okala","شامپو بچه فیروز حاوی عصاره بابونه 300 میلی لیتری","29"
"baby-mother-care","Okala","شامپو بچه حاوی عصاره آلوئه ورا 300میلی لیتری فیروز","29"
"baby-mother-care","Snapp!","دستمال مرطوب کودک ایزوتونیک مولفیکس","67"
"baby-mother-care","Snapp!","شامپو سر کودک زرد فیروز","60"
"baby-mother-care","Snapp!","شامپو سر کودک فیروز","45"
"beverages","Digikala","آب معدنی میوا - 1.5 لیتر","40"
"beverages","Digikala","آب معدنی میوا - 200 میلی لیتر","33"
"beverages","Digikala","دمنوش ديتوکس گلستان بسته 20عددی","28"
"beverages","Okala","نوشابه پرتقالی فانتا 300 میلی لیتری","46"
"beverages","Okala","آبمیوه انار بدون شکر 200 سی سی سان استار","29"
"beverages","Okala","فرشی دی نوشابه 250 سی سی پرتقال انبه","29"
"beverages","Snapp!","آب معدنی میوا","106"
"beverages","Snapp!","آب آشامیدنی دماوند","72"
"beverages","Snapp!","گلاب سمیه","68"
"breakfast","Digikala","مربای هویج اروم آدا - 300 گرم","28"
"breakfast","Digikala","مربای هویج بدر - 300 گرم","28"
"breakfast","Digikala","مربا هویج چین چین - 290 گرم","28"
"breakfast","Okala","مربا هویج موسوی 225 گرمی","29"
"breakfast","Okala","حلوا شكری عقاب 100 گرمی","29"
"breakfast","Okala","خامه کاکائویی 20% چربی کاله 200 گرمی","29"
"breakfast","Snapp!","حلوا ارده شکری عقاب","97"
"breakfast","Snapp!","حلوا شکری شیررضا","71"
"breakfast","Snapp!","کرم کاکائو فندقی فرمند","69"
"canned-food","Digikala","سوپ نیمه آماده مرغ آماده لذیذ مقدار 61 گرم","29"
"canned-food","Digikala","سوپ مرغ و ورمیشل الیت - 75 گرم","28"
"canned-food","Digikala","کنسرو گوجه فرنگی قطعه شده در آب گوجه فرنگی رعنا - 380 گرم","27"
"canned-food","Okala","سوپ جو و قارچ الیت 65 گرمی","29"
"canned-food","Okala","پودر حلیم گندم الیت 75 گرمی","29"
"canned-food","Okala","سوپ جو الیت 68 گرمی","28"
"canned-food","Snapp!","کنسرو ماهی تون در روغن گیاهی خوشبخت","70"
"canned-food","Snapp!","کنسرو ماهی تون در روغن لادن طلایی","46"
"canned-food","Snapp!","کنسرو ماهی تون در روغن رتزی","40"
"condiment","Digikala","سرکه قرمز بیژن - 500 گرم","27"
"condiment","Digikala","سس فلفلی دلوسه - 160 گرم","26"
"condiment","Digikala","سرکه سفید بیژن - 500 گرم","26"
"condiment","Okala","بیکینگ پودر گلها 80 گرمی","29"
"condiment","Okala","سركه قرمز بیژن 500 گرمی","29"
"condiment","Okala","سرکه سالاد رنگی 450 گرمی برتر","29"
"condiment","Snapp!","جوش شیرین گلها","81"
"condiment","Snapp!","سرکه قرمز وردا","59"
"condiment","Snapp!","آبلیمو بیژن","54"
"cosmetics-hygiene","Digikala","نوار بهداشتی گود مود مدل classic thick بسته 8 عددی","38"
"cosmetics-hygiene","Digikala","گوش پاک کن پنبه ریز مدل Normal بسته 100 عددی","36"
"cosmetics-hygiene","Digikala","دستمال کاغذی 100 برگ کیولین طرح ماربل مدل جعبه مقوایی","28"
"cosmetics-hygiene","Okala","گوش پاک کن محافظ دار کودک سپتونا ?? عددی","29"
"cosmetics-hygiene","Okala","خمیردندان سفید کننده 50 میلی لیتری کلوس آپ","29"
"cosmetics-hygiene","Okala","صابون زیبایی دورو مدل Sensations Aqua Splash با عصاره گل نیلوفر 90 گرمی","29"
"cosmetics-hygiene","Snapp!","چسب قطره ای رازی","84"
"cosmetics-hygiene","Snapp!","ژل آتش زا","76"
"cosmetics-hygiene","Snapp!","اسپری براق کننده مو کاسپین","56"
"dairy","Digikala","شیر موز پگاه مقدار 0.2 لیتر","26"
"dairy","Digikala","شیر طالبی پگاه - 200 میلی لیتر","25"
"dairy","Digikala","کره گیاهی مهگل - 100 گرم","25"
"dairy","Okala","بستنی لیوانی شکلاتی با سس شکلات دومینو 65 گرمی","29"
"dairy","Okala","بستنی شیری توت فرنگی 65گرمی دومینو","29"
"dairy","Okala","کره گلدن 50گرم","29"
"dairy","Snapp!","کشک مایع سمیه","111"
"dairy","Snapp!","کشک مایع کاله","81"
"dairy","Snapp!","خامه پرچرب کاله","70"
"digital-appliances","Snapp!","اسپیکر بلوتوثی BTS۱۶۱ مشکی انرجایزر","28"
"digital-appliances","Snapp!","خردکن CP۸۰۲P سفید پارس خزر","28"
"digital-appliances","Snapp!","اسپیکر بلوتوثی BTS۱۶۲ خاکستری انرجایزر","28"
"fashion","Snapp!","شورت اسلیپ پسرانه سرمه ای ۴۵۹۶ مناسب ۶ تا ۸ سال کوزا","26"
"fashion","Snapp!","جوراب مردانه ساق بلند مشکی ۵۱۹۸-۳۳۷ ضیاکو","26"
"fashion","Snapp!","شورت اسلیپ پسرانه مشکی ۰۳-۱ سایز XL برهان تن پوش","26"
"frozen-food","Digikala","سبزی سوپ منجمد پمینا - 400 گرم","28"
"frozen-food","Digikala","سبزی پلو منجمد سرد و تازه مقدار 400 گرم","27"
"frozen-food","Digikala","سبزی قلیه منجمد سرد و تازه مقدار 400 گرم","26"
"fruits-and-vegetables","Digikala","کدو سبز Fresh مقدار 1 کیلوگرم","28"
"fruits-and-vegetables","Digikala","هویج Fresh مقدار 1 کیلوگرم","27"
"fruits-and-vegetables","Digikala","پیاز سفید Fresh مقدار 1 کیلوگرم","26"
"fruits-and-vegetables","Okala","کاهو رسمي شسته شده کاهوما 400 گرمی","20"
"fruits-and-vegetables","Okala","سبزی خوردن پاک شده نظری 200 گرمی","18"
"fruits-and-vegetables","Okala","قارچ قهوه ای 500 گرمی ملارد","17"
"fruits-and-vegetables","Snapp!","جوانه شبدر توتیا","39"
"fruits-and-vegetables","Snapp!","جوانه ماش توتیا","33"
"fruits-and-vegetables","Snapp!","هویج پک پلاس","28"
"gold","Snapp!","شمش طلا ۲۴ عیار گل رز طلای محمد","116"
"gold","Snapp!","شمش طلا ۲۴ عیار سیمرغ ایران شمش","94"
"gold","Snapp!","شمش طلا ۲۴ عیار نقش برجسته ونوس","34"
"groceries","Okala","نان لواش سه نان 200 گرمی","53"
"groceries","Okala","پرک گندم برفود (200 گرم)","29"
"groceries","Okala","اسپاگتی ویتامین دی و کلسیم تک‌ماکارون (500 گرم)","29"
"groceries","Snapp!","رب گوجه فرنگی روژین","84"
"groceries","Snapp!","رب گوجه فرنگی هایلی","84"
"groceries","Snapp!","نبات چوبی مخلوط سبزدانه","78"
"home-hygiene","Okala","مایع سفید کننده 1 لیتری رافونه","29"
"home-hygiene","Okala","عود هم مدل Meditation بسته 20 عددی","29"
"home-hygiene","Okala","عود هم مدل 85 بسته 20 عددی","29"
"home-hygiene","Snapp!","دستمال حوله ای ۴ لایه هایپراستار","83"
"home-hygiene","Snapp!","دستمال توالت ۴ لایه هایپراستار","74"
"home-hygiene","Snapp!","دستمال توالت ۴ لایه فول تایم","70"
"home-stuff","Okala","ابراستیل مستطیل سخت دارکوب- یک عدد","29"
"home-stuff","Okala","کبریت انبوه طرح الدوز 10 عددی توکلی","29"
"home-stuff","Okala","اسکاچ بست کلینر (1 عدد)","28"
"junk-food","Digikala","شیرینی مغزدار توت فرنگی و شکلاتی چی پف - 45 گرم","27"
"junk-food","Digikala","ویفر تامبی کوپا با طعم موز و کارامل - 18 گرم","27"
"junk-food","Digikala","شیرینی مغزدار توت فرنگی و سیب چی پف مقدار 45 گرم","25"
"junk-food","Okala","کیک اسفنجی کاکائویی با کرم خامه تیتو کیک میک مزمز 40 گرمی","29"
"junk-food","Okala","ویفر کاکائو روکش کرم کاکائو 50 گرمی درنا","29"
"junk-food","Okala","اسنک توپی ریز پنیری مزمز 20 گرمی","29"
"junk-food","Snapp!","پاپ کورن پنیری چی توز","87"
"junk-food","Snapp!","آلبالو ترش خشکپاک","84"
"junk-food","Snapp!","لواشک آلو خشکپاک","83"
"nuts","Digikala","شیرینی با طعم خرما مینو- 25 گرم","26"
"nuts","Digikala","بادام زمینی روکشدار هالوپینو چی توز - 40 گرم","26"
"nuts","Digikala","پودر ژله با طعم کیوی فرمند - 100 گرم","24"
"nuts","Okala","ميوه خشك مخلوط اكبر راستگو- 250 گرم","44"
"nuts","Okala","آجيل شيرين راستگو 280 گرمی","22"
"nuts","Okala","خرما پيارم راستگو -300 گرم","22"
"nuts","Snapp!","رطب مضافتی مروارید سیاه","118"
"nuts","Snapp!","خرما کبکاب مروارید سیاه","92"
"nuts","Snapp!","آلو بخارا خشکپاک","81"
"proteins","Digikala","سوسيس کوکتل 55 درصد گوشت قرمز مهيا پروتئين - 300 گرم","26"
"proteins","Digikala","تخم مرغ گرید B تلاونگ بسته 9 عددی","25"
"proteins","Digikala","تخم مرغ گرید B تلاونگ بسته 6 عددی","25"
"proteins","Okala","کالباس 55% مرغ و قارچ سولیکو 300 گرمی","29"
"proteins","Okala","كالباس ژامبون 90% گوشت مرغ سولیکو 300 گرمی","28"
"proteins","Okala","کالباس ژامبون دودی 90% مرغ سولیکو 250 گرمی","26"
"proteins","Snapp!","تخم مرغ پرطلایی","100"
"proteins","Snapp!","تخم مرغ تلاونگ","73"
"proteins","Snapp!","تخم مرغ زرایکس پرایکس","68"
